,Model,Loss,Accuracy,Time (min)
0,CNN,0.6788845062255859,0.7613746523857117,0.49602744181950886
1,SimpleRNN,0.6713127493858337,0.7642788290977478,3.4380859176317853
2,CNN->SimpleRNN,0.6850776076316833,0.764924168586731,3.065910295645396
3,SimpleRNN->CNN,0.6972811222076416,0.7592771649360657,3.404855541388194
4,LSTM,0.6732935309410095,0.7654082179069519,5.855785667896271
5,BidirectionalLSTM,0.7539249062538147,0.7515327334403992,10.847471793492636
6,CNN->LSTM,0.6696120500564575,0.7657308578491211,2.2659196535746258
7,CNN->BidirectionalLSTM,0.6762344837188721,0.7612133026123047,6.451184709866841
8,LSTM->CNN,0.6845206022262573,0.7560503482818604,5.711890880266825
9,BidirectionalLSTM->CNN,1.5992189645767212,0.7520167827606201,10.187652023633321
10,GRU,0.651425302028656,0.7702484726905823,4.823786862691244
11,CNN->GRU,0.6793103814125061,0.7628267407417297,1.679360067844391
12,GRU->CNN,0.6801000237464905,0.7631493806838989,4.782033050060273
